question,answer
"""Comment puis-je postuler pour une bourse d'études ?""","""En soumettant une demande d'inscription en ligne sur le portail national des demandes de bourse d'études (minhaty.ma)."""
"""Quelle est la catégorie ciblée par la bourse d'études ?""","""Le programme de bourse d'études cible les élèves et les candidats libres de nationalité marocaine, titulaires du baccalauréat (marocain ou étranger) de l'année scolaire en cours, et âgés de moins de 26 ans à la date de passage de l'examen du baccalauréat ordinaire pour l'année scolaire en cours, souhaitant obtenir une bourse d'enseignement supérieur et de formation professionnelle. Le portail permet de soumettre leurs demandes en ligne dans le cadre de la politique de simplification des procédures administratives de l'État."""
"""Comment soumettre une demande via la plateforme Minhaty ?""","""La demande de bourse est enregistrée via le portail électronique www.minhaty.ma, en cliquant sur le lien du service ""Déposer la demande"", disponible dans les services en ligne et en entrant toutes les informations nécessaires."""
"""Comment suivre le dossier de demande de bourse ?""","""Pour suivre votre demande, vous pouvez accéder au service ""Suivre la demande"" sur le portail électronique www.minhaty.ma et entrer le code secret figurant sur le reçu de dépôt."""
"""Que faire en cas de non-reconnaissance du code Massar ou de perte du mot de passe de la plateforme ?""","""Dans ce cas, vous devez contacter l'administration de l'établissement scolaire où vous suivez ou avez suivi vos études cette année, ou la direction régionale de l'autorité gouvernementale chargée de l'éducation nationale pour les titulaires du baccalauréat libre et du baccalauréat étranger."""
"""Comment connaître le sort des demandes de bourses soumises ?""","""Les décisions prises par la commission nationale des bourses seront annoncées dans les délais impartis via le portail électronique www.minhaty.ma à travers le lien ""Suivre la demande""."""
"""Après la confirmation finale de la demande sur le portail électronique, peut-elle être modifiée ?""","""Après avoir rempli la demande sur le portail électronique via le service ""Déposer la demande"" et confirmé les informations, elle ne peut plus être modifiée."""
"""L'inscription au registre social unifié est-elle nécessaire pour demander la bourse d'études ?""","""Oui, l'inscription au registre national de la population et au registre social unifié pour l'élève et sa famille est une condition essentielle pour demander la bourse d'études."""
"""Quel est l'objectif de l'inscription au registre social unifié ?""","""Le registre social unifié permet de noter les familles inscrites, en fonction des données liées à leurs conditions sociales et économiques, afin de bénéficier des programmes de soutien social en cas de respect des critères d'éligibilité."""
"""La possession de la carte nationale d'identité électronique est-elle nécessaire pour le demandeur de la bourse ?""","""La possession par l'élève de la carte nationale d'identité électronique est une condition essentielle pour demander la bourse. Ceux qui se sont inscrits au registre national de la population sans carte d'identité nationale doivent mettre à jour leurs informations dans ce registre."""
